Date,Adj Close
2012-03-01,146.08
2012-02-01,152.98
2012-01-01,141.28
2011-12-01,142.44
2011-11-01,144.29
2011-10-01,133.87
2011-09-01,113.15
2011-08-01,127.51
2011-07-01,137.75
2011-06-01,137.32
2011-05-01,147.83
2011-04-01,163.98
2011-03-01,154.56
2011-02-01,142.71
2011-01-01,134.39
2010-12-01,135.60
2010-11-01,125.04
2010-10-01,121.13
2010-09-01,119.04
2010-08-01,107.16
2010-07-01,117.64
2010-06-01,112.80
2010-05-01,110.32
2010-04-01,128.41
2010-03-01,124.72
2010-02-01,119.63
2010-01-01,109.35
2009-12-01,119.57
2009-11-01,116.06
2009-10-01,115.91
2009-09-01,106.11
2009-08-01,105.44
2009-07-01,104.61
2009-06-01,105.28
2009-05-01,100.85
2009-04-01,76.80
2009-03-01,75.90
2009-02-01,67.67
2009-01-01,64.28
2008-12-01,69.00
2008-11-01,84.53
2008-10-01,102.27
2008-09-01,149.70
2008-08-01,171.54
2008-07-01,183.61
2008-06-01,208.04
2008-05-01,191.20
2008-04-01,172.15
2008-03-01,154.67
2008-02-01,156.38
2008-01-01,141.25
2007-12-01,148.58
2007-11-01,137.11
2007-10-01,146.58
2007-09-01,127.36
2007-08-01,115.73
2007-07-01,122.11
2007-06-01,110.01
2007-05-01,100.13
2007-04-01,103.51
2007-03-01,104.44
2007-02-01,98.74
2007-01-01,93.47
2006-12-01,98.08
2006-11-01,101.64
2006-10-01,94.64
2006-09-01,100.83
2006-08-01,112.27
2006-07-01,119.17
2006-06-01,118.53
2006-05-01,114.71
2006-04-01,115.90
2006-03-01,107.85
2006-02-01,100.46
2006-01-01,111.30
2005-12-01,100.91
2005-11-01,94.37
2005-10-01,97.64
2005-09-01,108.32
2005-08-01,113.66
2005-07-01,101.05
2005-06-01,94.70
2005-05-01,87.14
2005-04-01,82.23
2005-03-01,93.07
2005-02-01,87.76
2005-01-01,82.29
2004-12-01,74.11
2004-11-01,83.71
2004-10-01,88.22
2004-09-01,84.88
2004-08-01,72.48
2004-07-01,75.08
2004-06-01,63.30
2004-05-01,68.63
2004-04-01,64.55
2004-03-01,62.05
2004-02-01,63.02
2004-01-01,58.24
2003-12-01,57.37
2003-11-01,53.47
2003-10-01,51.41
2003-09-01,51.26
2003-08-01,55.96
2003-07-01,54.05
2003-06-01,53.38
2003-05-01,52.39
2003-04-01,46.17
2003-03-01,54.99
2003-02-01,65.30
2003-01-01,59.98
2002-12-01,56.11
2002-11-01,48.20
2002-10-01,48.76
2002-09-01,54.97
2002-08-01,52.14
2002-07-01,48.80
2002-06-01,48.44
2002-05-01,45.89
2002-04-01,49.42
2002-03-01,47.68
2002-02-01,39.84
2002-01-01,36.20
2001-12-01,36.74
2001-11-01,35.68
2001-10-01,38.80
2001-09-01,42.76
2001-08-01,48.83
2001-07-01,48.93
2001-06-01,48.18
2001-05-01,51.96
2001-04-01,52.36
2001-03-01,48.68
2001-02-01,50.60
2001-01-01,53.16
